simulation_idx,step_idx,mse,scale
5,70,3.6239918699720874e-05,1
5,71,3.646471304818988e-05,1
5,72,3.664273754111491e-05,1
5,73,3.6964516766602173e-05,1
5,74,3.600615309551358e-05,1
5,75,3.5642962757265195e-05,1
5,76,3.580317570595071e-05,1
5,77,3.5939912777394056e-05,1
5,78,3.595211455831304e-05,1
5,79,3.550791007000953e-05,1
5,80,3.474095501587726e-05,1
5,81,3.403939990676008e-05,1
5,82,3.314214700367302e-05,1
5,83,3.272249523433857e-05,1
5,84,3.2708812796045095e-05,1
5,85,3.268110958742909e-05,1
5,86,3.259472214267589e-05,1
5,87,3.276193092460744e-05,1
5,88,3.2448235288029537e-05,1
5,89,3.3885047741932794e-05,1
5,90,3.44181498803664e-05,1
5,91,3.527423905325122e-05,1
5,92,3.608790575526655e-05,1
5,93,3.581807322916575e-05,1
5,94,3.534111237968318e-05,1
5,95,3.5321270843269303e-05,1
5,96,3.5278175346320495e-05,1
5,97,3.603148434194736e-05,1
5,98,3.6044366424903274e-05,1
5,99,3.616495450842194e-05,1
6,0,2.6430501748109236e-05,1
6,1,2.706312807276845e-05,1
6,2,2.7916879844269715e-05,1
6,3,2.8396698326105252e-05,1
6,4,2.892856537073385e-05,1
6,5,2.9995106160640717e-05,1
6,6,3.132987330900505e-05,1
6,7,3.214142634533346e-05,1
6,8,3.230894435546361e-05,1
6,9,3.19812934321817e-05,1
6,10,3.216815457562916e-05,1
6,11,3.201017898391001e-05,1
6,12,3.224204556318e-05,1
6,13,3.2054140319814906e-05,1
6,14,3.102210757788271e-05,1
6,15,3.0618117307312787e-05,1
6,16,3.020007352461107e-05,1
6,17,2.9889473807998e-05,1
6,18,2.9226841434137896e-05,1
6,19,2.855674574675504e-05,1
6,20,2.8885149731650017e-05,1
6,21,2.8273285352042876e-05,1
6,22,2.87825423583854e-05,1
6,23,2.8910948458360508e-05,1
6,24,2.8854890842922032e-05,1
6,25,2.860141648852732e-05,1
6,26,2.833765211107675e-05,1
6,27,2.8352491426630877e-05,1
6,28,2.880427746276837e-05,1
6,29,2.9036635169177316e-05,1
6,30,2.8544152883114293e-05,1
6,31,2.852599209290929e-05,1
6,32,2.8539176128106192e-05,1
6,33,2.8302150894887745e-05,1
6,34,2.757902620942332e-05,1
6,35,2.7316646082908846e-05,1
6,36,2.658169250935316e-05,1
6,37,2.5721490601426922e-05,1
6,38,2.531394420657307e-05,1
6,39,2.4953036700026132e-05,1
6,40,2.443093399051577e-05,1
6,41,2.430020504107233e-05,1
6,42,2.4543025574530475e-05,1
6,43,2.372931885474827e-05,1
6,44,2.2698568500345573e-05,1
6,45,2.2136036932352e-05,1
6,46,2.196865898440592e-05,1
6,47,2.1664303858415224e-05,1
6,48,2.1037791157141328e-05,1
6,49,2.0762125132023357e-05,1
6,50,2.0840981960645877e-05,1
6,51,2.237501939816866e-05,1
6,52,2.3317070372286253e-05,1
6,53,2.405653322057333e-05,1
6,54,2.5382614694535732e-05,1
6,55,2.5914601792464964e-05,1
6,56,2.693739952519536e-05,1
6,57,2.8400374503689818e-05,1
6,58,2.9575965527328663e-05,1
6,59,3.110318721155636e-05,1
6,60,3.1746458262205124e-05,1
6,61,3.270472734584473e-05,1
6,62,3.358328467584215e-05,1
6,63,3.376877793925814e-05,1
6,64,3.467814531177282e-05,1
6,65,3.481181192910299e-05,1
6,66,3.479875158518553e-05,1
6,67,3.503742118482478e-05,1
6,68,3.5648830817081034e-05,1
6,69,3.6174456909066066e-05,1
6,70,3.6239918699720874e-05,1
6,71,3.646471304818988e-05,1
6,72,3.664273754111491e-05,1
6,73,3.6964513128623366e-05,1
6,74,3.600615309551358e-05,1
6,75,3.5642962757265195e-05,1
6,76,3.580317570595071e-05,1
6,77,3.5939912777394056e-05,1
6,78,3.595211455831304e-05,1
6,79,3.550791007000953e-05,1
6,80,3.474095501587726e-05,1
6,81,3.403939990676008e-05,1
6,82,3.314214700367302e-05,1
6,83,3.272249523433857e-05,1
6,84,3.2708812796045095e-05,1
6,85,3.268110958742909e-05,1
6,86,3.259472214267589e-05,1
6,87,3.276193092460744e-05,1
6,88,3.2448235288029537e-05,1
6,89,3.3885047741932794e-05,1
6,90,3.44181498803664e-05,1
6,91,3.527423905325122e-05,1
6,92,3.608790575526655e-05,1
6,93,3.581806959118694e-05,1
6,94,3.534111237968318e-05,1
6,95,3.5321270843269303e-05,1
6,96,3.5278175346320495e-05,1
6,97,3.603148434194736e-05,1
6,98,3.6044366424903274e-05,1
6,99,3.616495450842194e-05,1
7,0,1.1442959475971293e-05,1
7,1,1.0972611562465318e-05,1
7,2,1.0944428140646778e-05,1
7,3,1.0923918125627097e-05,1
7,4,1.0811335414473433e-05,1
7,5,1.1098037248302717e-05,1
7,6,1.1146758879476693e-05,1
7,7,1.1446091775724199e-05,1
7,8,1.1729325706255622e-05,1
7,9,1.155457448476227e-05,1
7,10,1.2006351425952744e-05,1
7,11,1.2594681720656808e-05,1
7,12,1.258101110579446e-05,1
7,13,1.2764132407028228e-05,1
7,14,1.3716103239858057e-05,1
7,15,1.4621028640249278e-05,1
7,16,1.5065367733768653e-05,1
7,17,1.559169868414756e-05,1
7,18,1.5988047380233184e-05,1
7,19,1.6436415535281412e-05,1
7,20,1.6851863620104268e-05,1
7,21,1.7922566257766448e-05,1
7,22,1.8300657757208683e-05,1
7,23,1.895993591460865e-05,1
7,24,1.987324321817141e-05,1
7,25,2.0186800611554645e-05,1
7,26,2.1159194147912785e-05,1
7,27,2.1756964997621253e-05,1
7,28,2.2769387214793824e-05,1
7,29,2.3231921659316868e-05,1
7,30,2.3504200726165436e-05,1
7,31,2.4120299713104032e-05,1
7,32,2.4217224563471973e-05,1
7,33,2.4567052605561912e-05,1
7,34,2.500294431229122e-05,1
7,35,2.551226680225227e-05,1
7,36,2.5662860934971832e-05,1
7,37,2.5953306248993613e-05,1
7,38,2.711682827793993e-05,1
7,39,2.6819869162864052e-05,1
7,40,2.717708412092179e-05,1
7,41,2.8219190426170826e-05,1
7,42,2.868227420549374e-05,1
7,43,2.838427280948963e-05,1
7,44,2.7637679522740655e-05,1
7,45,2.9120274120941758e-05,1
7,46,3.0201472327462398e-05,1
7,47,3.0385284844669513e-05,1
7,48,3.006340739375446e-05,1
7,49,3.066728822886944e-05,1
7,50,3.133161226287484e-05,1
7,51,3.1841551390243694e-05,1
7,52,3.256534910178743e-05,1
7,53,3.255958290537819e-05,1
7,54,3.237167402403429e-05,1
7,55,3.259797813370824e-05,1
7,56,3.377223765710369e-05,1
7,57,3.489839946269058e-05,1
7,58,3.658645073301159e-05,1
7,59,3.731455217348412e-05,1
7,60,3.9662696508457884e-05,1
7,61,4.1774903365876526e-05,1
7,62,4.338539656600915e-05,1
7,63,4.552864993456751e-05,1
7,64,4.757638453156687e-05,1
7,65,4.9129099352285266e-05,1
7,66,4.9509424570715055e-05,1
7,67,5.079319453216158e-05,1
7,68,5.1396909839240834e-05,1
7,69,5.1463630370562896e-05,1
7,70,5.1084545702906325e-05,1
7,71,5.152081939741038e-05,1
7,72,5.20731664437335e-05,1
7,73,5.298017640598118e-05,1
7,74,5.377640627557412e-05,1
7,75,5.456451253849082e-05,1
7,76,5.423816037364304e-05,1
7,77,5.4467393056256697e-05,1
7,78,5.474734280142002e-05,1
7,79,5.4532265494344756e-05,1
7,80,5.3318904974730685e-05,1
7,81,5.1299186452524737e-05,1
7,82,5.0304010073887184e-05,1
7,83,4.977819844498299e-05,1
7,84,4.967003405909054e-05,1
7,85,4.991034438717179e-05,1
7,86,4.936342520522885e-05,1
7,87,4.9405738536734134e-05,1
7,88,4.83037147205323e-05,1
7,89,4.856883242609911e-05,1
7,90,4.83528601762373e-05,1
7,91,4.839386747335084e-05,1
7,92,4.823872586712241e-05,1
7,93,4.8054800572572276e-05,1
